,index,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
334,34,50.0,2.07,0.66,57,0.0,0.75,35
335,35,43.49,2.22,0.63,64,0.0,0.75,36
336,36,42.51,2.35,0.53,65,0.0,0.75,37
337,37,45.19,2.25,0.7,62,0.0,0.75,38
338,38,36.03,2.45,0.54,72,0.0,0.75,39
339,39,49.11,2.23,0.43,57,0.0,0.75,40
340,40,33.32,2.54,0.52,75,0.0,0.75,41
341,41,29.8,2.54,0.48,79,0.0,0.75,42
342,42,26.24,2.67,0.44,83,0.0,0.75,43
343,43,30.26,2.65,0.43,78,0.0,0.75,44
344,44,37.32,2.51,0.39,70,0.0,0.75,45
345,45,38.68,2.42,0.44,69,0.0,0.75,46
346,46,25.24,2.75,0.41,84,0.0,0.75,47
347,47,30.28,2.62,0.36,78,0.0,0.75,48
348,48,29.39,2.7,0.37,79,0.0,0.75,49
349,49,25.85,2.73,0.41,83,0.0,0.75,50
350,50,20.35,2.8,0.47,89,0.0,0.75,51
351,51,25.88,2.73,0.32,83,0.0,0.75,52
352,52,27.52,2.74,0.33,81,0.0,0.75,53
353,53,19.02,2.87,0.32,91,0.0,0.75,54
354,54,23.08,2.78,0.37,86,0.0,0.75,55
355,55,22.08,2.78,0.28,87,0.0,0.75,56
356,56,20.46,2.82,0.31,89,0.0,0.75,57
357,57,26.84,2.69,0.31,82,0.0,0.75,58
358,58,25.8,2.7,0.28,83,0.0,0.75,59
359,59,23.06,2.8,0.25,86,0.0,0.75,60
360,60,21.32,2.83,0.28,88,0.0,0.75,61
361,61,17.96,2.9,0.27,92,0.0,0.75,62
362,62,22.1,2.79,0.31,87,0.0,0.75,63
363,63,16.78,2.92,0.23,93,0.0,0.75,64
364,64,15.01,2.94,0.21,95,0.0,0.75,65
365,65,25.73,2.72,0.24,83,0.0,0.75,66
366,66,15.75,2.91,0.19,94,0.0,0.75,67
367,67,17.53,2.87,0.21,92,0.0,0.75,68
368,68,22.91,2.79,0.26,86,0.0,0.75,69
369,69,20.14,2.84,0.23,89,0.0,0.75,70
370,70,14.68,2.93,0.25,95,0.0,0.75,71
371,71,18.66,2.83,0.21,91,0.0,0.75,72
372,72,15.74,2.91,0.17,94,0.0,0.75,73
373,73,19.53,2.8,0.2,90,0.0,0.75,74
374,74,17.64,2.88,0.24,92,0.0,0.75,75
375,75,24.0,2.79,0.23,85,0.0,0.75,76
376,76,16.59,2.91,0.22,93,0.0,0.75,77
377,77,16.69,2.89,0.19,93,0.0,0.75,78
378,78,17.63,2.87,0.22,92,0.0,0.75,79
379,79,18.48,2.87,0.22,91,0.0,0.75,80
380,80,18.6,2.89,0.17,91,0.0,0.75,81
381,81,14.83,2.94,0.2,95,0.0,0.75,82
382,82,18.6,2.9,0.22,91,0.0,0.75,83
383,83,16.55,2.89,0.2,93,0.0,0.75,84
384,84,14.77,2.92,0.2,95,0.0,0.75,85
385,85,21.26,2.82,0.19,88,0.0,0.75,86
386,86,17.57,2.92,0.17,92,0.0,0.75,87
387,87,16.04,2.92,0.16,94,0.0,0.75,88
388,88,16.6,2.87,0.1,93,0.0,0.75,89
389,89,19.53,2.82,0.12,90,0.0,0.75,90
390,90,16.03,2.9,0.08,94,0.0,0.75,91
391,91,15.54,2.92,0.15,94,0.0,0.75,92
392,92,18.48,2.87,0.18,91,0.0,0.75,93
393,93,19.4,2.87,0.16,90,0.0,0.75,94
394,94,14.0,2.96,0.09,96,0.0,0.75,95
395,95,13.96,2.93,0.12,96,0.0,0.75,96
396,96,15.51,2.92,0.13,94,0.0,0.75,97
397,97,16.43,2.91,0.12,93,0.0,0.75,98
398,98,13.92,2.94,0.1,96,0.0,0.75,99
399,99,16.71,2.91,0.06,93,0.0,0.75,100
400,0,100.06,0.38,0.66,1,0.0,1.0,1
401,1,101.0,0.24,0.56,0,0.0,1.0,2
402,2,101.0,0.28,0.59,0,0.0,1.0,3
403,3,101.0,0.3,0.47,0,0.0,1.0,4
404,4,101.0,0.31,0.51,0,0.0,1.0,5
405,5,101.0,0.21,0.42,0,0.0,1.0,6
406,6,100.06,0.28,0.48,1,0.0,1.0,7
407,7,100.06,0.27,0.39,1,0.0,1.0,8
408,8,101.0,0.17,0.58,0,0.0,1.0,9
409,9,101.0,0.03,0.03,0,0.0,1.0,10
410,10,101.0,0.0,0.0,0,0.0,1.0,11
411,11,101.0,0.0,0.0,0,0.0,1.0,12
412,12,101.0,0.0,0.0,0,0.0,1.0,13
413,13,101.0,0.0,0.0,0,0.0,1.0,14
414,14,101.0,0.0,0.0,0,0.0,1.0,15
415,15,101.0,0.0,0.0,0,0.0,1.0,16
416,16,101.0,0.0,0.0,0,0.0,1.0,17
417,17,101.0,0.0,0.0,0,0.0,1.0,18
418,18,101.0,0.0,0.0,0,0.0,1.0,19
419,19,101.0,0.0,0.0,0,0.0,1.0,20
420,20,101.0,0.0,0.0,0,0.0,1.0,21
